client_id,cluster,t_star
C_001,3,9
C_002,3,9
C_003,3,10
C_004,2,11
C_005,2,7
C_006,2,12
C_007,2,7
C_008,3,10
C_009,3,10
C_010,2,9
C_011,2,8
C_012,1,8
C_013,3,9
C_014,2,12
C_015,3,9
C_016,3,7
C_017,2,5
C_018,3,9
C_019,2,5
C_020,3,6
C_021,2,6
C_022,3,9
C_023,3,9
C_024,3,11
C_025,3,6
C_026,3,9
C_027,3,8
C_028,2,11
C_029,2,5
C_030,2,12
C_031,2,10
C_032,2,8
C_033,3,10
C_034,1,5
C_035,1,7
C_036,1,8
C_037,2,10
C_038,2,7
C_039,2,9
C_040,3,9
C_041,3,6
C_042,3,12
C_043,3,9
C_044,3,8
C_045,1,10
C_046,1,9
C_047,2,5
C_048,3,7
C_049,2,9
C_050,3,10
C_051,3,9
C_052,3,12
C_053,2,6
C_054,2,12
C_055,3,12
C_056,1,8
C_057,2,9
C_058,2,6
C_059,2,5
C_060,2,9
C_061,1,8
C_062,3,9
C_063,2,10
C_064,3,6
C_065,2,9
C_066,3,7
C_067,3,9
C_068,3,12
C_069,2,12
C_070,2,6
C_071,3,9
C_073,1,9
C_074,2,12
C_075,2,4
C_076,3,8
C_077,2,9
C_078,3,9
C_079,2,9
C_080,3,12
C_081,3,9
C_082,2,8
C_083,2,5
C_084,3,10
C_085,2,11
C_086,2,4
C_087,2,12
C_088,3,8
C_089,3,8
C_090,3,8
C_091,3,12
C_092,2,10
C_094,3,9
C_095,2,7
C_096,2,6
C_097,2,10
C_098,2,9
C_099,2,6
C_100,2,9
C_101,2,4
C_102,2,5
C_103,1,8
C_104,1,8
C_105,2,4
C_106,2,4
C_107,3,9
C_108,2,7
C_109,1,5
C_110,2,5
C_111,3,10
C_112,3,11
C_113,2,12
C_114,1,5
C_115,3,9
C_116,1,6
C_118,3,12
C_119,2,9
C_120,3,11
client_0001,3,6
client_0002,3,9
client_0003,2,6
